pre_carga_curva_cierre_dia_local.zero_curve_date, pre_carga_curva_cierre_dia_local.tenor, pre_carga_curva_cierre_dia_local.curve_value, pre_carga_curva_cierre_dia_local.zero_curve
2020-10-27,1,-4.7337295758092E-03,EURIBOR6M
2020-10-27,4,-5.09682381500853E-03,EURIBOR6M
2020-10-27,7,-5.4597536547486E-03,EURIBOR6M
2020-10-27,14,-5.45946784656715E-03,EURIBOR6M
2020-10-27,32,-5.49274809330425E-03,EURIBOR6M
2020-10-27,61,-5.33268501236184E-03,EURIBOR6M
2020-10-27,92,-5.16070785936829E-03,EURIBOR6M
2020-10-27,120,-5.15311998698464E-03,EURIBOR6M
2020-10-27,151,-5.14439441818515E-03,EURIBOR6M
2020-10-27,182,-5.13428343708167E-03,EURIBOR6M
2020-10-27,214,-5.12320179611381E-03,EURIBOR6M
2020-10-27,243,-5.13078278594026E-03,EURIBOR6M
2020-10-27,273,-5.13166548505928E-03,EURIBOR6M
2020-10-27,305,-5.12170865821859E-03,EURIBOR6M
2020-10-27,335,-5.13039534487159E-03,EURIBOR6M
2020-10-27,365,-5.13895472934545E-03,EURIBOR6M
2020-10-27,547,-5.22152938904175E-03,EURIBOR6M
2020-10-27,732,-5.25764732408252E-03,EURIBOR6M
2020-10-27,1096,-5.23011299068277E-03,EURIBOR6M
2020-10-27,1461,-5.04152851344686E-03,EURIBOR6M
2020-10-27,1826,-4.78193618599776E-03,EURIBOR6M
2020-10-27,2556,-4.07061704471301E-03,EURIBOR6M
2020-10-27,3652,-2.78615321315523E-03,EURIBOR6M
2020-10-27,4383,-1.94624597613935E-03,EURIBOR6M
2020-10-27,5478,-9.47420288346268E-04,EURIBOR6M
2020-10-27,7305,-2.09220755949424E-04,EURIBOR6M
2020-10-27,9132,-2.31483319468095E-04,EURIBOR6M
2020-10-27,10959,-5.3014278661534E-04,EURIBOR6M
2020-10-27,1,7.30267245345306E-04,LIBORUSD3MBBG
2020-10-27,4,9.12921021479107E-04,LIBORUSD3MBBG
